Age,Fare
34.5,7.8292
47.0,7.0
62.0,9.6875
27.0,8.6625
22.0,12.2875
14.0,9.225
30.0,7.6292
26.0,29.0
18.0,7.2292
21.0,24.15
46.0,26.0
23.0,82.2667
63.0,26.0
47.0,61.175
24.0,27.7208
35.0,12.35
21.0,7.225
27.0,7.925
45.0,7.225
55.0,59.4
9.0,3.1708
21.0,61.3792
48.0,262.375
50.0,14.5
22.0,61.9792
22.5,7.225
41.0,30.5
50.0,26.0
24.0,31.5
33.0,20.575
30.0,57.75
18.5,7.2292
21.0,8.6625
25.0,9.5
39.0,13.4167
41.0,7.85
30.0,13.0
45.0,52.5542
25.0,7.925
45.0,29.7
60.0,76.2917
36.0,15.9
24.0,60.0
27.0,15.0333
20.0,23.0
28.0,263.0
10.0,29.125
35.0,7.8958
25.0,7.65
36.0,262.375
17.0,7.8958
32.0,13.5
18.0,7.75
22.0,7.725
13.0,262.375
18.0,7.8792
47.0,42.4
31.0,28.5375
60.0,263.0
24.0,7.75
21.0,7.8958
29.0,7.925
28.5,27.7208
35.0,211.5
32.5,211.5
55.0,25.7
30.0,13.0
24.0,7.75
6.0,15.2458
67.0,221.7792
49.0,26.0
27.0,7.8792
18.0,8.05
2.0,23.0
22.0,13.9
27.0,52.0
25.0,26.0
25.0,7.7958
76.0,78.85
29.0,7.925
20.0,7.8542
33.0,8.05
43.0,55.4417
27.0,26.0
26.0,7.775
16.0,8.5167
28.0,22.525
21.0,7.8208
18.5,13.0
41.0,15.0458
36.0,31.6792
18.5,7.2833
63.0,221.7792
18.0,14.4542
1.0,16.7
36.0,75.2417
29.0,26.0
12.0,15.75
35.0,57.75
28.0,7.25
17.0,16.1
22.0,7.7958
42.0,13.0
24.0,8.05
32.0,8.05
53.0,28.5
43.0,7.8958
24.0,7.8542
26.5,7.225
26.0,13.0
23.0,8.05
40.0,46.9
10.0,46.9
33.0,151.55
61.0,262.375
